CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
07/07/2018,23:53:00,1F,1600 PENTWOOD RD,HOMICIDE,,FIREARM,413,NORTHEASTERN,Stonewood-Pentwood-Winsto,-76.58727,39.34782,"(39.34782, -76.58727)",Alley,1
07/07/2018,22:41:00,9S,3700 S HANOVER ST,SHOOTING,,FIREARM,913,SOUTHERN,Brooklyn,-76.61033,39.23703,"(39.23703, -76.61033)",Common Bus,1
07/07/2018,20:19:00,9S,4900 SINCLAIR LA,SHOOTING,,FIREARM,443,NORTHEASTERN,Frankford,-76.55088,39.32101,"(39.32101, -76.55088)",Street,1
07/07/2018,18:15:00,9S,1800 PENNSYLVANIA AV,SHOOTING,,FIREARM,123,CENTRAL,Upton,-76.63571,39.30436,"(39.30436, -76.63571)",Street,1
07/07/2018,16:14:00,9S,6800 FAIRLAWN AV,SHOOTING,,FIREARM,631,NORTHWESTERN,Reisterstown Station,-76.70956,39.3588,"(39.3588, -76.70956)",Street,1
07/07/2018,0:32:00,9S,5000 BENTON HEIGHTS AV,SHOOTING,,FIREARM,426,NORTHEASTERN,Waltherson,-76.55576,39.3363,"(39.3363, -76.55576)",Street,1
07/06/2018,20:21:00,9S,1800 ORLEANS ST,SHOOTING,,FIREARM,321,EASTERN,Dunbar-Broadway,-76.59129,39.29529,"(39.29529, -76.59129)",Street,1
07/06/2018,19:50:00,1F,0 N ABINGTON AV,HOMICIDE,,FIREARM,842,SOUTHWESTERN,Carroll-South Hilton,-76.67118,39.28631,"(39.28631, -76.67118)",Street,1
07/06/2018,19:50:00,9S,0 N ABINGTON AV,SHOOTING,,FIREARM,842,SOUTHWESTERN,Carroll-South Hilton,-76.67118,39.28631,"(39.28631, -76.67118)",Street,1
07/05/2018,14:20:00,9S,500 LYNDHURST ST,SHOOTING,,FIREARM,843,SOUTHWESTERN,Allendale,-76.6806,39.29266,"(39.29266, -76.6806)",Vehicle,1
07/05/2018,3:10:00,1F,500 DENISON ST,HOMICIDE,,FIREARM,843,SOUTHWESTERN,Lower Edmondson Village,-76.6741,39.29288,"(39.29288, -76.6741)",Street,1
07/05/2018,0:38:00,1K,1900 W NORTH AV,HOMICIDE,,KNIFE,731,WESTERN,Mondawmin,-76.64917,39.30981,"(39.30981, -76.64917)",Street,1
07/04/2018,5:18:00,1F,3700 5TH ST,HOMICIDE,,FIREARM,913,SOUTHERN,Brooklyn,-76.60447,39.23567,"(39.23567, -76.60447)",Street,1
07/04/2018,3:29:00,9S,2200 GREENMOUNT AV,SHOOTING,,FIREARM,341,EASTERN,Barclay,-76.60952,39.31488,"(39.31488, -76.60952)",Street,1
07/03/2018,11:36:00,9S,0 E PATAPSCO AV,SHOOTING,,FIREARM,913,SOUTHERN,Brooklyn,-76.60963,39.23853,"(39.23853, -76.60963)",Street,1
07/03/2018,9:30:00,1F,1800 RAMSAY ST,HOMICIDE,,FIREARM,934,SOUTHERN,Carrollton Ridge,-76.64504,39.28322,"(39.28322, -76.64504)",Street,1
07/01/2018,18:10:00,9S,1900 LINDEN AV,SHOOTING,,FIREARM,132,CENTRAL,Bolton Hill,-76.63103,39.30944,"(39.30944, -76.63103)",Street,1
07/01/2018,10:33:00,1F,1900 N CHARLES ST,HOMICIDE,,FIREARM,141,CENTRAL,Charles North,-76.61654,39.31147,"(39.31147, -76.61654)",Parking Lo,1
06/30/2018,23:44:00,9S,4000 PENHURST AV,SHOOTING,,FIREARM,621,NORTHWESTERN,West Arlington,-76.68585,39.33867,"(39.33867, -76.68585)",Dwelling,1
06/30/2018,23:44:00,9S,4000 PENHURST AV,SHOOTING,,FIREARM,621,NORTHWESTERN,West Arlington,-76.68585,39.33867,"(39.33867, -76.68585)",Dwelling,1
